Id,Weekly_Sales
1_2_2013-07-26,44923.7713229
1_3_2012-11-02,9290.97910495
1_3_2012-11-09,11792.5778208
1_3_2012-11-16,8295.11672999
1_3_2012-11-23,8167.21956146
1_3_2012-11-30,15283.7590188
1_3_2012-12-07,12572.4373516
1_3_2012-12-14,10403.3611156
1_3_2012-12-21,13711.8595549
1_3_2012-12-28,7737.83316456
1_3_2013-01-04,12892.5646271
1_3_2013-01-11,5373.75661145
1_3_2013-01-18,4919.1171478
1_3_2013-01-25,8394.70098973
1_3_2013-02-01,13882.6415619
1_3_2013-02-08,14363.2162473
1_3_2013-02-15,10959.1141628
1_3_2013-02-22,7505.84542635
1_3_2013-03-01,3892.54595264
1_3_2013-03-08,5700.37589218
1_3_2013-03-15,7880.45145387
1_3_2013-03-22,10836.9776541
1_3_2013-03-29,9277.07814876
1_3_2013-04-05,7376.05861906
1_3_2013-04-12,9476.98975855
1_3_2013-04-19,11641.869882
1_3_2013-04-26,11094.1968298
1_3_2013-05-03,9328.34363083
1_3_2013-05-10,9890.49305748
1_3_2013-05-17,12278.4341519
1_3_2013-05-24,15121.3536074
1_3_2013-05-31,16486.2954367
1_3_2013-06-07,12568.4715967
1_3_2013-06-14,14496.028069
1_3_2013-06-21,15977.9726194
1_3_2013-06-28,17713.9237044
1_3_2013-07-05,13428.1683956
1_3_2013-07-12,15327.9163396
1_3_2013-07-19,15592.1795932
1_3_2013-07-26,17242.0511872
1_4_2012-11-02,38095.9938767
1_4_2012-11-09,37333.3373477
1_4_2012-11-16,37675.6018235
1_4_2012-11-23,46585.5881118
1_4_2012-11-30,34095.4472377
1_4_2012-12-07,37741.2824174
1_4_2012-12-14,35905.5997811
1_4_2012-12-21,48578.9523903
1_4_2012-12-28,37468.4907128
1_4_2013-01-04,39506.842953
1_4_2013-01-11,35960.3682353
1_4_2013-01-18,34549.2896314
1_4_2013-01-25,34065.5664348
1_4_2013-02-01,39815.1709365
1_4_2013-02-08,38892.1353839
1_4_2013-02-15,37479.8913609
1_4_2013-02-22,34642.9369451
1_4_2013-03-01,37715.3675888
1_4_2013-03-08,36803.2774098
1_4_2013-03-15,35992.5713828
1_4_2013-03-22,35385.182343
1_4_2013-03-29,33713.2148517
1_4_2013-04-05,37640.8144203
1_4_2013-04-12,36797.3357633
1_4_2013-04-19,35950.2831856
1_4_2013-04-26,34495.3463191
1_4_2013-05-03,38263.1705423
1_4_2013-05-10,37102.1720278
1_4_2013-05-17,36417.0923072
1_4_2013-05-24,35822.5737524
1_4_2013-05-31,34825.1239742
1_4_2013-06-07,38272.1292451
1_4_2013-06-14,37423.4724119
1_4_2013-06-21,36512.9830419
1_4_2013-06-28,35637.677671
1_4_2013-07-05,38776.1698645
1_4_2013-07-12,37910.0130534
1_4_2013-07-19,36795.4513491
1_4_2013-07-26,35937.1942803
1_5_2012-11-02,33779.8440221
1_5_2012-11-09,31092.966871
1_5_2012-11-16,28037.8835308
1_5_2012-11-23,77580.2453989
1_5_2012-11-30,31296.2403903
1_5_2012-12-07,31005.2266794
1_5_2012-12-14,36066.1296087
1_5_2012-12-21,71803.8778877
1_5_2012-12-28,34540.0530062
1_5_2013-01-04,25746.1069274
1_5_2013-01-11,23859.8900257
1_5_2013-01-18,26137.197438
1_5_2013-01-25,21942.9714395
1_5_2013-02-01,27942.2690242
1_5_2013-02-08,30186.7107797
1_5_2013-02-15,34959.9902168
1_5_2013-02-22,25124.4807157
1_5_2013-03-01,28439.6023973
1_5_2013-03-08,26923.0926434
1_5_2013-03-15,24820.2427614
1_5_2013-03-22,21478.3613801
1_5_2013-03-29,25575.406611
1_5_2013-04-05,25204.640519
1_5_2013-04-12,23204.4341644
1_5_2013-04-19,21062.2913374
1_5_2013-04-26,23449.7834509
1_5_2013-05-03,23064.2145587
1_5_2013-05-10,23687.2228893
1_5_2013-05-17,21392.4344264
1_5_2013-05-24,18315.5083813
1_5_2013-05-31,17565.8393089
1_5_2013-06-07,20506.6925724
1_5_2013-06-14,18862.1091308
1_5_2013-06-21,18036.2994563
1_5_2013-06-28,16743.6535458
1_5_2013-07-05,20439.1573075
1_5_2013-07-12,18818.8901992
1_5_2013-07-19,20161.5437416
1_5_2013-07-26,19083.9773256
1_6_2012-11-02,5488.26688486
1_6_2012-11-09,5340.3366143
1_6_2012-11-16,3054.43102553
1_6_2012-11-23,19447.8978794
1_6_2012-11-30,5382.21187192
1_6_2012-12-07,5479.45658337
1_6_2012-12-14,6079.54091095
1_6_2012-12-21,23418.3047054
1_6_2012-12-28,6257.07964117
1_6_2013-01-04,2699.08080966
1_6_2013-01-11,4162.81524137
1_6_2013-01-18,4456.57004304
1_6_2013-01-25,4095.64077286
1_6_2013-02-01,3796.61814985
1_6_2013-02-08,6104.84458071
1_6_2013-02-15,4350.93668802
1_6_2013-02-22,4092.09839121
1_6_2013-03-01,4203.65453545
1_6_2013-03-08,4156.54960736
1_6_2013-03-15,4033.43405659
1_6_2013-03-22,3760.19917062
1_6_2013-03-29,4238.16529245
1_6_2013-04-05,4082.27338859
1_6_2013-04-12,3986.90999252
1_6_2013-04-19,3900.17990404
1_6_2013-04-26,4232.06943332
1_6_2013-05-03,4090.39931171
1_6_2013-05-10,4204.27774668
1_6_2013-05-17,3967.40197067
1_6_2013-05-24,3672.09089247
1_6_2013-05-31,3678.98012541
1_6_2013-06-07,3863.91798872
1_6_2013-06-14,3760.5121488
1_6_2013-06-21,3686.57796093
1_6_2013-06-28,3595.90809643
1_6_2013-07-05,3909.90350699
1_6_2013-07-12,3822.43332561
1_6_2013-07-19,3865.3134272
1_6_2013-07-26,3750.37666518
1_7_2012-11-02,33516.4056479
1_7_2012-11-09,31821.7964147
1_7_2012-11-16,23909.1321165
1_7_2012-11-23,73075.2136638
1_7_2012-11-30,35456.2257005
1_7_2012-12-07,33021.6702881
1_7_2012-12-14,35328.3011304
1_7_2012-12-21,142011.356633
1_7_2012-12-28,33307.8608918
1_7_2013-01-04,16404.7072228
1_7_2013-01-11,19165.50811
1_7_2013-01-18,19954.2962228
1_7_2013-01-25,17337.1028337
1_7_2013-02-01,16515.2033257
1_7_2013-02-08,17246.251836
1_7_2013-02-15,19908.5022551
1_7_2013-02-22,19324.1945891
1_7_2013-03-01,23000.4100382
1_7_2013-03-08,21884.2269739
1_7_2013-03-15,20423.7890307
1_7_2013-03-22,18258.3225302
1_7_2013-03-29,20005.0987135
1_7_2013-04-05,22200.2796449
1_7_2013-04-12,20830.9659897
1_7_2013-04-19,19436.067304
1_7_2013-04-26,20340.4984766
1_7_2013-05-03,22483.59081
1_7_2013-05-10,22374.9692998
1_7_2013-05-17,20611.9754308
1_7_2013-05-24,18481.5365184
1_7_2013-05-31,17718.5662076
1_7_2013-06-07,21669.0797557
1_7_2013-06-14,20392.8974634
1_7_2013-06-21,19433.6515355
1_7_2013-06-28,18293.8448803
1_7_2013-07-05,22676.2645789
1_7_2013-07-12,21441.6672621
1_7_2013-07-19,21404.6062345
1_7_2013-07-26,20279.6761655
1_8_2012-11-02,38011.7587191
1_8_2012-11-09,37005.5069329
1_8_2012-11-16,35254.2885134
1_8_2012-11-23,34568.2864493
1_8_2012-11-30,33842.6256475
1_8_2012-12-07,36930.6537949
1_8_2012-12-14,36792.2754473
1_8_2012-12-21,41668.4539711
1_8_2012-12-28,33019.8748148
1_8_2013-01-04,37369.8078573
1_8_2013-01-11,36353.2639924
1_8_2013-01-18,35970.6097367
1_8_2013-01-25,34916.7378691
1_8_2013-02-01,40487.2845444
1_8_2013-02-08,37740.4775563
1_8_2013-02-15,38194.5653284
1_8_2013-02-22,36103.6613098
1_8_2013-03-01,38420.467712
1_8_2013-03-08,37567.1790512
1_8_2013-03-15,36683.0711325
1_8_2013-03-22,35714.9654294
1_8_2013-03-29,35520.8360738
1_8_2013-04-05,37482.3426467
1_8_2013-04-12,36577.6746181
1_8_2013-04-19,35616.9746653
1_8_2013-04-26,35197.2585524
1_8_2013-05-03,37056.8455125
1_8_2013-05-10,36525.1073649
1_8_2013-05-17,35790.6001903
1_8_2013-05-24,34937.7991864
1_8_2013-05-31,34206.4168738
1_8_2013-06-07,36500.953066
1_8_2013-06-14,35712.2588977
1_8_2013-06-21,35104.3571911
1_8_2013-06-28,34393.2516973
1_8_2013-07-05,36599.2049317
1_8_2013-07-12,35788.8206558
1_8_2013-07-19,35590.0923843
1_8_2013-07-26,34983.9890447
1_9_2012-11-02,38039.3043711
1_9_2012-11-09,36200.1325473
1_9_2012-11-16,29976.0493945
1_9_2012-11-23,45484.1504226
1_9_2012-11-30,19421.6456282
1_9_2012-12-07,36705.1792543
1_9_2012-12-14,38262.4085782
1_9_2012-12-21,46115.6858842
1_9_2012-12-28,25830.45063
1_9_2013-01-04,20099.0266126
1_9_2013-01-11,24786.4189986
1_9_2013-01-18,25255.4370325
1_9_2013-01-25,22992.5098871
1_9_2013-02-01,18380.598127
1_9_2013-02-08,17567.7780723
1_9_2013-02-15,22444.2172854
1_9_2013-02-22,26579.1972563
1_9_2013-03-01,30558.9838486
1_9_2013-03-08,29275.6145942
1_9_2013-03-15,27803.36932
1_9_2013-03-22,25895.1005108
1_9_2013-03-29,27131.8958812
1_9_2013-04-05,29300.9130163
1_9_2013-04-12,27810.9842618
1_9_2013-04-19,26180.3670365
1_9_2013-04-26,26601.0915885
1_9_2013-05-03,28670.1082153
1_9_2013-05-10,28484.7542271
1_9_2013-05-17,27262.9051212
1_9_2013-05-24,25638.2000425
1_9_2013-05-31,24761.3944654
1_9_2013-06-07,28307.9802254
1_9_2013-06-14,27122.8121738
1_9_2013-06-21,26470.7338475
1_9_2013-06-28,25514.4673683
1_9_2013-07-05,29155.9139348
1_9_2013-07-12,27933.6713601
1_9_2013-07-19,28557.2779704
1_9_2013-07-26,27853.4910374
1_10_2012-11-02,30388.4244314
1_10_2012-11-09,29911.6913244
1_10_2012-11-16,27283.4614999
1_10_2012-11-23,31074.0087795
1_10_2012-11-30,26772.2496848
1_10_2012-12-07,29966.6222833
1_10_2012-12-14,27913.0780171
1_10_2012-12-21,31746.5253603
1_10_2012-12-28,26210.2666324
1_10_2013-01-04,27093.484571
1_10_2013-01-11,31530.3698212
1_10_2013-01-18,30105.2679182
1_10_2013-01-25,30046.481968
1_10_2013-02-01,33820.4902557
1_10_2013-02-08,37026.4114851
1_10_2013-02-15,35937.6840687
1_10_2013-02-22,30311.1957142
1_10_2013-03-01,32540.0021896
1_10_2013-03-08,31845.1291364
1_10_2013-03-15,31301.556276
1_10_2013-03-22,31060.3982869
1_10_2013-03-29,29250.9027826
1_10_2013-04-05,32444.1257698
1_10_2013-04-12,31850.2634978
1_10_2013-04-19,31248.4827613
1_10_2013-04-26,29755.6485446
1_10_2013-05-03,32806.1130987
1_10_2013-05-10,31750.9105737
1_10_2013-05-17,31403.3141421
1_10_2013-05-24,31186.758638
1_10_2013-05-31,30368.8422383
1_10_2013-06-07,32853.3123979
1_10_2013-06-14,32256.899757
1_10_2013-06-21,31575.5428833
1_10_2013-06-28,30942.5061497
1_10_2013-07-05,33060.8071386
1_10_2013-07-12,32437.0561294
1_10_2013-07-19,31466.8628564
1_10_2013-07-26,30864.2545791
1_11_2012-11-02,23811.494789
1_11_2012-11-09,23798.3229265
1_11_2012-11-16,22083.2416602
1_11_2012-11-23,28892.4032742
1_11_2012-11-30,27622.3332124
1_11_2012-12-07,24502.866882
1_11_2012-12-14,20054.0185056
1_11_2012-12-21,33807.9748618
1_11_2012-12-28,23360.9727311
1_11_2013-01-04,23121.5777076
1_11_2013-01-11,22793.6528914
1_11_2013-01-18,20014.3488101
1_11_2013-01-25,21000.416794
1_11_2013-02-01,26489.663329
1_11_2013-02-08,25929.0439973
1_11_2013-02-15,22497.1925674
1_11_2013-02-22,20948.3538521
1_11_2013-03-01,24023.8502648
1_11_2013-03-08,23365.2084912
1_11_2013-03-15,23081.437431
1_11_2013-03-22,23568.6154943
1_11_2013-03-29,19730.2798862
1_11_2013-04-05,25305.8365282
1_11_2013-04-12,24927.2655577
1_11_2013-04-19,24584.8420664
1_11_2013-04-26,21686.921855
1_11_2013-05-03,27049.8736314
1_11_2013-05-10,25258.3895363
1_11_2013-05-17,25276.8361812
1_11_2013-05-24,25708.5747734
1_11_2013-05-31,24651.3855354
1_11_2013-06-07,28288.3796209
1_11_2013-06-14,27791.7969574
1_11_2013-06-21,26926.5882132
1_11_2013-06-28,26271.4197995
1_11_2013-07-05,29173.3958289
1_11_2013-07-12,28635.4486401
1_11_2013-07-19,26715.6767657
1_11_2013-07-26,26028.3224823
1_12_2012-11-02,9689.87188852
1_12_2012-11-09,9726.35986337
1_12_2012-11-16,8854.19181307
1_12_2012-11-23,8515.96125257
1_12_2012-11-30,7045.16444595
1_12_2012-12-07,9757.22914153
1_12_2012-12-14,8536.33810672
1_12_2012-12-21,8302.09033272
1_12_2012-12-28,7329.31406549
1_12_2013-01-04,7545.52588435
1_12_2013-01-11,10955.2577155
1_12_2013-01-18,10209.7213448
1_12_2013-01-25,10533.2147729
1_12_2013-02-01,9532.851143
1_12_2013-02-08,9803.22420997
1_12_2013-02-15,10339.7294871
1_12_2013-02-22,10368.4591134
1_12_2013-03-01,10965.2232625
1_12_2013-03-08,10819.4167835
1_12_2013-03-15,10780.953484
1_12_2013-03-22,10962.7263577
1_12_2013-03-29,9916.51293496
1_12_2013-04-05,11197.1580826
1_12_2013-04-12,11130.8298524
1_12_2013-04-19,11073.5063971
1_12_2013-04-26,10292.8171269
1_12_2013-05-03,11518.9564973
1_12_2013-05-10,11054.5579282
1_12_2013-05-17,11107.0589478
1_12_2013-05-24,11275.7661543
1_12_2013-05-31,11018.0979162
1_12_2013-06-07,11748.0461246
1_12_2013-06-14,11650.6213287
1_12_2013-06-21,11451.4588182
1_12_2013-06-28,11310.2608718
1_12_2013-07-05,11835.3605794
1_12_2013-07-12,11725.4546991
1_12_2013-07-19,11232.5010692
1_12_2013-07-26,11084.6832134
1_13_2012-11-02,39295.1099632
1_13_2012-11-09,38764.591896
1_13_2012-11-16,37832.7608804
1_13_2012-11-23,38405.6065689
1_13_2012-11-30,33322.8311188
1_13_2012-12-07,39222.2003166
1_13_2012-12-14,37101.9017547
1_13_2012-12-21,37823.0872275
1_13_2012-12-28,33701.5188918
1_13_2013-01-04,40422.2207218
1_13_2013-01-11,37921.3264138
1_13_2013-01-18,36393.0878847
1_13_2013-01-25,36209.3643557
1_13_2013-02-01,42320.3065544
1_13_2013-02-08,40436.4736196
1_13_2013-02-15,38644.2638404
1_13_2013-02-22,36396.5584738
1_13_2013-03-01,39122.102848
1_13_2013-03-08,38358.1980915
1_13_2013-03-15,37725.3887356
1_13_2013-03-22,37363.7675831
1_13_2013-03-29,35457.3966832
1_13_2013-04-05,39327.2135914
1_13_2013-04-12,38663.4262087
1_13_2013-04-19,38016.3487596
1_13_2013-04-26,36450.2190406
1_13_2013-05-03,40168.6767598
1_13_2013-05-10,38991.0917899
1_13_2013-05-17,38450.5931917
1_13_2013-05-24,38061.0918903
1_13_2013-05-31,37150.9761274
1_13_2013-06-07,40329.5451026
1_13_2013-06-14,39616.3387131
1_13_2013-06-21,38762.6808169
1_13_2013-06-28,37989.0656593
1_13_2013-07-05,40835.8540205
1_13_2013-07-12,40110.1061754
1_13_2013-07-19,38862.9301727
1_13_2013-07-26,38070.2102829
1_14_2012-11-02,17442.9148501
1_14_2012-11-09,16401.4793282
1_14_2012-11-16,19399.4763121
1_14_2012-11-23,39842.0285146
1_14_2012-11-30,15758.8454126
1_14_2012-12-07,16409.4842977
1_14_2012-12-14,17502.234953
1_14_2012-12-21,46630.1226802
1_14_2012-12-28,24184.073201
1_14_2013-01-04,17037.2778064
1_14_2013-01-11,15289.8363117
1_14_2013-01-18,15603.2982683
1_14_2013-01-25,14124.1664574
1_14_2013-02-01,15679.4647092
1_14_2013-02-08,16080.1465165
1_14_2013-02-15,18800.5055177
1_14_2013-02-22,14928.3328246
1_14_2013-03-01,16673.7005503
1_14_2013-03-08,15950.5965279
1_14_2013-03-15,15059.5146577
1_14_2013-03-22,13816.9687912
1_14_2013-03-29,14634.5322011
1_14_2013-04-05,15539.1128133
1_14_2013-04-12,14682.2510365
1_14_2013-04-19,13793.7356582
1_14_2013-04-26,14146.7124378
1_14_2013-05-03,15004.0792085
1_14_2013-05-10,14855.13281
1_14_2013-05-17,13879.4438775
1_14_2013-05-24,12694.0000441
1_14_2013-05-31,12175.4493944
1_14_2013-06-07,13999.275465
1_14_2013-06-14,13226.2504811
1_14_2013-06-21,12662.2409503
1_14_2013-06-28,11979.0807725
1_14_2013-07-05,13981.1580171
1_14_2013-07-12,13219.3594923
1_14_2013-07-19,13221.8296847
1_14_2013-07-26,12582.9075218
1_16_2012-11-02,7820.0111803
1_16_2012-11-09,8399.1136994
1_16_2012-11-16,4062.58644273
1_16_2012-11-23,6735.1163743
1_16_2012-11-30,867.80507712
1_16_2012-12-07,7042.70523084
1_16_2012-12-14,-3910.5308019
1_16_2012-12-21,11712.8534259
1_16_2012-12-28,5113.54868191
1_16_2013-01-04,3062.84685708
1_16_2013-01-11,36397.2754241
1_16_2013-01-18,29775.7395932
1_16_2013-01-25,32936.6924448
1_16_2013-02-01,16006.7250361
1_16_2013-02-08,22029.8294867
1_16_2013-02-15,16745.0199627
1_16_2013-02-22,29420.138549
1_16_2013-03-01,32550.4263498
1_16_2013-03-08,31448.468465
1_16_2013-03-15,31316.5153395
1_16_2013-03-22,33181.6895191
1_16_2013-03-29,23808.8032699
1_16_2013-04-05,33208.600335
1_16_2013-04-12,32834.4283233
1_16_2013-04-19,32559.559233
1_16_2013-04-26,25636.1853032
1_16_2013-05-03,34570.7856772
1_16_2013-05-10,30512.6837671
1_16_2013-05-17,31143.7745486
1_16_2013-05-24,32853.4546572
1_16_2013-05-31,30710.5353023
1_16_2013-06-07,35075.2833778
1_16_2013-06-14,34384.1937345
1_16_2013-06-21,32722.8967542
1_16_2013-06-28,31614.4371336
1_16_2013-07-05,34165.4265499
1_16_2013-07-12,33370.0311326
1_16_2013-07-19,28944.9170213
1_16_2013-07-26,27742.0459384
1_17_2012-11-02,9382.31764867
1_17_2012-11-09,9061.45634367
1_17_2012-11-16,9763.95176055
1_17_2012-11-23,12827.2143369
1_17_2012-11-30,8996.05971304
1_17_2012-12-07,9137.71320086
1_17_2012-12-14,9423.11416412
1_17_2012-12-21,18928.9450017
1_17_2012-12-28,10569.2825969
1_17_2013-01-04,8513.7397291
1_17_2013-01-11,9830.24925757
1_17_2013-01-18,9842.72948032
1_17_2013-01-25,9304.99752977
1_17_2013-02-01,9836.74853904
1_17_2013-02-08,10733.066672
1_17_2013-02-15,12070.8127763
1_17_2013-02-22,9004.30628022
1_17_2013-03-01,9568.61030095
1_17_2013-03-08,9321.48939067
1_17_2013-03-15,9000.04169553
1_17_2013-03-22,8536.9287809
1_17_2013-03-29,8704.29967015
1_17_2013-04-05,9227.25215052
1_17_2013-04-12,8939.99542493
1_17_2013-04-19,8674.38052447
1_17_2013-04-26,8735.79652017
1_17_2013-05-03,9241.38667915
1_17_2013-05-10,9094.85984679
1_17_2013-05-17,8618.77484482
1_17_2013-05-24,8106.52429062
1_17_2013-05-31,7890.02593201
1_17_2013-06-07,8703.05785957
1_17_2013-06-14,8381.49962629
1_17_2013-06-21,8051.32362027
1_17_2013-06-28,7726.16090975
1_17_2013-07-05,8641.48906848
1_17_2013-07-12,8341.75531723
1_17_2013-07-19,8045.58384783
1_17_2013-07-26,7671.22870067
1_18_2012-11-02,19412.0352951
1_18_2012-11-09,17121.8908823
1_18_2012-11-16,16456.4563241
1_18_2012-11-23,35059.3893623
1_18_2012-11-30,49073.2341147
1_18_2012-12-07,17614.7050558
1_18_2012-12-14,24248.7878614
1_18_2012-12-21,20091.2917481
1_18_2012-12-28,21831.7065653
1_18_2013-01-04,9035.04537587
1_18_2013-01-11,1971.88824115
1_18_2013-01-18,5364.87182753
1_18_2013-01-25,1275.96646822
1_18_2013-02-01,387.95993907
1_18_2013-02-08,9396.40990146
1_18_2013-02-15,21965.0111977
1_18_2013-02-22,5009.49982035
1_18_2013-03-01,7188.04685034
1_18_2013-03-08,6234.70436217
1_18_2013-03-15,4588.00840055
1_18_2013-03-22,1485.87889857
1_18_2013-03-29,6982.8145033
1_18_2013-04-05,4697.13258724
1_18_2013-04-12,3185.20201856
1_18_2013-04-19,1530.48432281
1_18_2013-04-26,5075.86726347
1_18_2013-05-03,2887.84020284
1_18_2013-05-10,4356.64576363
1_18_2013-05-17,2400.60889311
1_18_2013-05-24,-440.501242636
1_18_2013-06-07,1019.20872785
1_18_2013-07-05,1447.17171159
1_19_2012-11-02,1335.12731422
1_19_2012-11-09,1347.24034456
1_19_2012-11-16,1172.71554558
1_19_2012-11-23,884.282407069
1_19_2012-11-30,1356.13726457
1_19_2012-12-07,1408.7692993
1_19_2012-12-14,1495.14877119
1_19_2012-12-21,1545.51582228
1_19_2012-12-28,1026.79902215
1_19_2013-01-04,763.610370242
1_19_2013-01-11,1276.56559419
1_19_2013-01-18,1315.18428076
1_19_2013-01-25,1275.00963972
1_19_2013-02-01,1283.27610378
1_19_2013-02-08,980.635770509
1_19_2013-02-15,1078.06144546
1_19_2013-02-22,1114.3776947
1_19_2013-03-01,1075.72634566
1_19_2013-03-08,1092.23359853
1_19_2013-03-15,1092.23947398
1_19_2013-03-22,1063.26576862
1_19_2013-03-29,1124.10771808
1_19_2013-04-05,1110.27045648
1_19_2013-04-12,1121.26654574
1_19_2013-04-19,1143.42890481
1_19_2013-04-26,1198.52451291
1_19_2013-05-03,1189.80130037
1_19_2013-05-10,1201.25605174
1_19_2013-05-17,1146.01572979
1_19_2013-05-24,1092.85513741
1_19_2013-05-31,1105.47360353
1_19_2013-06-07,1135.21724813
1_19_2013-06-14,1125.85677004
1_19_2013-06-21,1096.54074834
1_19_2013-06-28,1078.64083449
1_19_2013-07-05,1143.61440093
1_19_2013-07-12,1142.10741655
1_19_2013-07-19,1081.67830801
1_19_2013-07-26,1040.58533997
1_20_2012-11-02,3282.96282681
1_20_2012-11-09,3306.19082136
1_20_2012-11-16,2888.58622077
1_20_2012-11-23,5536.16813573
1_20_2012-11-30,2343.21390251
1_20_2012-12-07,3339.32754612
1_20_2012-12-14,2612.31321102
1_20_2012-12-21,4888.62051179
1_20_2012-12-28,3685.78760995
1_20_2013-01-04,3046.82106998
1_20_2013-01-11,4257.67196359
1_20_2013-01-18,3803.47685279
1_20_2013-01-25,3978.54491043
1_20_2013-02-01,4597.67781742
1_20_2013-02-08,4910.58787673
1_20_2013-02-15,4895.82810649
1_20_2013-02-22,3767.50287037
1_20_2013-03-01,4118.94497955
1_20_2013-03-08,4029.90278439
1_20_2013-03-15,3999.32825024
1_20_2013-03-22,4091.39019137
1_20_2013-03-29,3460.24140439
1_20_2013-04-05,4258.28469924
1_20_2013-04-12,4216.21628391
1_20_2013-04-19,4185.94586988
1_20_2013-04-26,3718.6854586
1_20_2013-05-03,4484.33591808
1_20_2013-05-10,4192.08847495
1_20_2013-05-17,4188.39716878
1_20_2013-05-24,4258.95487869
1_20_2013-05-31,4097.40318978
1_20_2013-06-07,4572.9327427
1_20_2013-06-14,4500.12040951
1_20_2013-06-21,4352.34320235
1_20_2013-06-28,4247.30242344
1_20_2013-07-05,4612.39759372
1_20_2013-07-12,4536.04672714
1_20_2013-07-19,4186.35329407
1_20_2013-07-26,4064.40924436
1_21_2012-11-02,8703.39514662
1_21_2012-11-09,8444.76058068
1_21_2012-11-16,7711.6603496
1_21_2012-11-23,9776.22529126
1_21_2012-11-30,7593.59057401
1_21_2012-12-07,8537.20101344
1_21_2012-12-14,8738.31250477
1_21_2012-12-21,12904.9678289
1_21_2012-12-28,6915.82406205
1_21_2013-01-04,7623.1776958
1_21_2013-01-11,7665.64603442
1_21_2013-01-18,7690.70219847
1_21_2013-01-25,7323.09301616
1_21_2013-02-01,7948.05805542
1_21_2013-02-08,8071.54626174
1_21_2013-02-15,8776.94386064
1_21_2013-02-22,7495.65204831
1_21_2013-03-01,8043.7752503
1_21_2013-03-08,7851.06692415
1_21_2013-03-15,7617.94967309
1_21_2013-03-22,7302.48211053
1_21_2013-03-29,7437.98701289
1_21_2013-04-05,7849.32575603
1_21_2013-04-12,7627.46387061
1_21_2013-04-19,7403.64510472
1_21_2013-04-26,7443.19868276
1_21_2013-05-03,7839.4085541
1_21_2013-05-10,7760.46442449
1_21_2013-05-17,7488.39292386
1_21_2013-05-24,7174.8530719
1_21_2013-05-31,7021.84735887
1_21_2013-06-07,7635.80415333
1_21_2013-06-14,7422.77849399
1_21_2013-06-21,7243.98759036
1_21_2013-06-28,7045.69691551
1_21_2013-07-05,7701.92048541
1_21_2013-07-12,7494.27087989
1_21_2013-07-19,7417.36781679
1_21_2013-07-26,7218.80497224
1_22_2012-11-02,9293.06209512
1_22_2012-11-09,8711.58356342
1_22_2012-11-16,7745.50219763
1_22_2012-11-23,18575.0092883
1_22_2012-11-30,7357.47963185
1_22_2012-12-07,8736.45577238
